# tx_id=25, axis_selection=Axis 1, Axis 2, Axis 3, sampling_rate_hz=20000, filter=Low-pass 2670 Hz, segments=10, samples_per_axis=66, total_samples=66
sample_index,axis1,axis2,axis3
0,6,678,9
1,9,580,7
2,7,458,3
3,6,309,1
4,7,147,5
5,5,-15,-1
6,5,-176,-7
7,1,-328,-9
8,0,-549,-10
9,-3,-620,-9
10,2,-646,-5
11,5,-631,-6
12,3,-583,-10
13,-2,-495,-8
14,-7,-374,-7
15,-7,-231,-4
16,-12,-81,1
17,-13,83,5
18,-6,248,18
19,-1,400,15
20,-4,651,13
21,-5,723,12
22,-1,757,13
23,-4,749,13
24,0,709,8
25,5,530,7
26,8,397,0
27,13,235,0
28,8,64,3
29,5,-97,0
30,4,-254,-3
31,3,-394,-12
32,1,-509,-14
33,5,-591,-6
34,9,-639,-3
35,8,-614,-11
36,4,-544,-12
37,0,-443,-6
38,-6,-314,-2
39,-5,-162,-3
40,-8,-1,-2
41,-7,167,-3
42,-1,329,1
43,0,475,3
44,-1,694,1
45,-2,753,5
46,2,772,5
47,5,742,2
48,-1,683,3
49,0,463,7
50,4,463,9
51,7,319,5
52,3,-6,-1
53,3,-169,0
54,8,-319,0
55,3,-452,-3
56,0,-552,-10
57,-1,-616,-9
58,-4,-648,-1
59,-3,-633,-9
60,-7,-497,-2
61,-8,-379,-3
62,-12,-242,0
63,-12,-84,3
64,-7,78,2
65,-4,238,8